Year,Dates,Num,Miles (a),Climb (ft)(a),Starting City,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
1973,Aug 26–31,I,412,TBD,Sioux City,Storm Lake,Fort Dodge,Ames,Des Moines,Williamsburg,Davenport,N/A
1974,Aug 4–10,II,422,TBD,Council Bluffs,Atlantic,Guthrie Center,Camp Dodge,Marshalltown,Waterloo,Monticello,Dubuque
1975,Aug 3-9,III,450,TBD,Hawarden,Cherokee,Lake View,Boone,Newton,Sigourney,Mount Pleasant,Fort Madison
1976,Aug 1-7,IV,430,TBD,Sidney,Red Oak,Harlan,Jefferson,Nevada,Grinnell,Iowa City,Muscatine
1977,Jul 31-Aug 6,V,400,"10,675",Onawa,Ida Grove,Laurens,Algona,Clear Lake,New Hampton,Decorah,Lansing
1978,Jul 30-Aug 5,VI,440,TBD,Sioux City,Storm Lake,Humboldt,Iowa Falls,Vinton,Mount Vernon,Maquoketa,Clinton
1979,Jul 29-Aug 4,VII,480,TBD,Rock Rapids,Spencer,Rockwell City,Story City,Tama-Toledo,Fairfield,Wapello,Burlington
1980,Jul 27-Aug 2,VIII,468,TBD,Glenwood,Atlantic,Carroll,Perry,Webster City,Waverly,Elkader,Guttenberg
1981,Jul 26-Aug 1,IX,490,"26,374",Missouri Valley,Mapleton,Lake City,Greenfield,Leon,Centerville,Keosauqua,Keokuk
1982,Jul 25-31,X,523,TBD,Akron,Cherokee,Estherville,Forest City,Charles City,Independence,Tipton,Davenport
1983,Jul 24-30,XI,492,TBD,Onawa,Harlan,Guthrie Center,Ames,Clarion,Grundy Center,Manchester,Dubuque
1984,Jul 22-28,XII,474,TBD,Glenwood,Shenandoah,Creston,Adel,Pella,Ottumwa,Mount Pleasant,Burlington
1985,Jul 21-27,XIII,540,TBD,Hawarden,Sibley,Emmetsburg,Humboldt,Mason City,Waterloo,Monticello,Clinton
1986,Jul 20-26,XIV,479,TBD,Council Bluffs,Red Oak,Audubon,Perry,Eldora,Belle Plaine,Washington,Muscatine
1987,Jul 19-25,XV,437,TBD,Onawa,Denison,Storm Lake,Fort Dodge,Forest City,Osage,West Union,Guttenberg
1988,Jul 24-30,XVI,433,TBD,Sioux City,Ida Grove,Carroll,Boone,Des Moines,Oskaloosa,Fairfield,Fort Madison
1989,Jul 23-29,XVII,479,TBD,Glenwood,Clarinda,Atlantic,Jefferson,Story City,Cedar Falls,Dyersville,Bellevue
1990,Jul 22-28,XVIII,495,TBD,Sioux Center,Spencer,Algona,Hampton,Oelwein,Cedar Rapids,Washington,Burlington
1991,Jul 21-27,XIX,432,TBD,Missouri Valley,Atlantic,Winterset,Knoxville,Grinnell,Amana,Anamosa,Bellevue
1992,Jul 19-25,XX,494,TBD,Glenwood,Shenandoah,Bedford,Osceola,Des Moines,Oskaloosa,Mount Pleasant,Keokuk
1993,Jul 25-31,XXI,525,TBD,Sioux City,Sheldon,Emmetsburg,Clarion,Osage,Decorah,Manchester,Dubuque
1994,Jul 24-30,XXII,511,TBD,Council Bluffs,Harlan,Carroll,Perry,Marshalltown,Marion,Maquoketa,Clinton
1995,Jul 23-29,XXIII,493,TBD,Onawa,Lake View,Fort Dodge,Iowa Falls,Tama-Toledo,Sigourney,Coralville,Muscatine
1996,Jul 21-27,XXIV,437,TBD,Sioux Center,Sibley,Estherville,Lake Mills,Charles City,Cresco,Fayette,Guttenberg
1997,Jul 20-26,XXV,464,TBD,Missouri Valley,Red Oak,Creston,Des Moines,Chariton,Bloomfield,Fairfield,Fort Madison
1998,Jul 19-25,XXVI,488,TBD,Hawarden,Cherokee,Rockwell City,Boone,Eldora,Cedar Falls,Monticello,Sabula
1999,Jul 25-31,XXVII,487,TBD,Rock Rapids,Spencer,Algona,Clear Lake,Waverly,Decorah,Manchester,Bellevue
2000,Jul 23-29,XXVIII,450,TBD,Council Bluffs,Harlan,Greenfield,Ankeny,Knoxville,Ottumwa,Washington,Burlington
2001,Jul 22-28,XXIX,506,TBD,Sioux City,Storm Lake,Denison,Atlantic,Perry,Grinnell,Coralville,Muscatine
2002,Jul 21-27,XXX,480,TBD,Sioux Center,Cherokee,Emmetsburg,Forest City,Charles City,Oelwein,Anamosa,Bellevue
2003,Jul 20-26,XXXI,452 (477),TBD,Glenwood,Shenandoah,Bedford,Osceola,Oskaloosa,Bloomfield,Mount Pleasant,Fort Madison
2004,Jul 25-31,XXXII,490 (517),TBD,Onawa,Lake View,Fort Dodge,Iowa Falls,Marshalltown,Hiawatha,Maquoketa,Clinton
2005,Jul 24-30,XXXIII,485,TBD,Le Mars,Sheldon,Estherville,Algona,Northwood,Cresco,West Union,Guttenberg
2006,Jul 23-29,XXXIV,444,TBD,Sergeant Bluff,Ida Grove,Audubon,Waukee,Newton,Marengo,Coralville,Muscatine
2007,Jul 22-28,XXXV,479,TBD,Rock Rapids,Spencer,Humboldt,Hampton,Cedar Falls,Independence,Dyersville,Bellevue
2008,Jul 20-26,XXXVI,471,TBD,Missouri Valley,Harlan,Jefferson,Ames,Tama-Toledo,North Liberty,Tipton,LeClaire
2009,Jul 19-25,XXXVII,442,TBD,Council Bluffs,Red Oak,Greenfield,Indianola,Chariton,Ottumwa,Mount Pleasant,Burlington
2010,Jul 25-31,XXXVIII,450,"14,502",Sioux City,Storm Lake,Algona,Clear Lake,Charles City,Waterloo,Manchester,Dubuque
2011,Jul 24-30,XXXIX,454,"20,197",Glenwood,Atlantic,Carroll,Boone,Altoona,Grinnell,Coralville,Davenport
2012,Jul 22-28,XL,471,TBD,Sioux Center,Cherokee,Lake View,Webster City,Marshalltown,Cedar Rapids,Anamosa,Clinton
2013,Jul 21-27,XLI,407,TBD,Council Bluffs,Harlan,Perry,Des Moines,Knoxville,Oskaloosa,Fairfield,Fort Madison
2014,Jul 20-26,XLII,418,TBD,Rock Valley,Okoboji ǂ,Emmetsburg,Forest City,Mason City,Waverly,Independence,Guttenberg
2015,Jul 19-25,XLIII,462 (489),"15,948 (?)",Sioux City,Storm Lake,Fort Dodge,Eldora,Cedar Falls,Hiawatha,Coralville,Davenport
2016,Jul 24-30,XLIV,417 (452),"18,488 (?)",Glenwood,Shenandoah,Creston,Leon,Centerville,Ottumwa,Washington,Muscatine
2017,Jul 23-29,XLV,403 (433),"13,078 (13,534)",Orange City,Spencer,Algona,Clear Lake,Charles City,Cresco,Waukon,Lansing
2018,Jul 22-28,XLVI,432 (450),"12,851 (13,920)",Onawa,Denison,Jefferson,Ames,Newton,Sigourney,Iowa City,Davenport
2019,Jul 21-27,XLVII,446 (499),"15,069 (17,586)",Council Bluffs,Atlantic,Winterset,Indianola,Centerville,Fairfield,Burlington,Keokuk
2021,Jul 25-31,XLVIII,454 (482),"11,379 (13,086)",Le Mars,Sac City,Fort Dodge,Iowa Falls,Waterloo,Anamosa,DeWitt,Clinton
2022,Jul 24-30,XLIX,462,"11,900",Sergeant Bluff,Ida Grove,Pocahontas,Emmetsburg,Mason City,Charles City,West Union,Lansing
2023,Jul 23-29,L,511,"17,167",Sioux City,Storm Lake,Carroll,Ames,Des Moines,Tama-Toledo,Coralville,Davenport
2024,Jul 21-27,LI,434,"18,375",Glenwood,Red Oak,Atlantic,Winterset,Knoxville,Ottumwa,Mount Pleasant,Burlington
2025,Jul 20-26,LII,406,"10,487",Orange City,Milford,Estherville,Forest City,Iowa Falls,Cedar Falls,Oelwein,Guttenberg
2026,Jul 19-25,LIII,391,"16,027",Onawa,Harlan,Guthrie Center,Boone,Marshalltown,Independence,Dyersville,Dubuque
